,room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,last_modified,latitude,longitude
123,11325234,1428,8835918,Entire home/apt,,Toronto,,East End-Danforth (62),26,4.5,2,1.0,,43.0,,2017-07-10 12:54:23.305755,43.679714000000004,-79.297425
124,9669408,1428,24967,Entire home/apt,,Toronto,,Dovercourt-Wallace Emerson-Junction (93),0,0.0,4,2.0,,40.0,,2017-07-10 12:54:19.508340,43.666453000000004,-79.427203
125,7006309,1428,36729046,Entire home/apt,,Toronto,,Keelesdale-Eglinton West (110),2,0.0,3,2.0,,40.0,,2017-07-10 12:54:15.754144,43.686572,-79.47783199999999
126,9065802,1428,7666731,Entire home/apt,,Toronto,,Annex (95),5,4.5,2,1.0,,35.0,,2017-07-10 12:54:15.750989,43.673093,-79.411575
127,14198959,1428,85102023,Entire home/apt,,Toronto,,Niagara (82),5,5.0,2,0.0,,40.0,,2017-07-10 12:54:15.742363,43.642098,-79.415428
128,519845,1428,1615266,Entire home/apt,,Toronto,,Parkwoods-Donalda (45),31,4.5,4,1.0,,36.0,,2017-07-10 12:54:15.732815,43.758639,-79.31796899999999
129,6846217,1428,11774511,Entire home/apt,,Toronto,,Mount Olive-Silverstone-Jamestown (2),4,3.0,2,0.0,,12.0,,2017-07-10 12:54:14.649701,43.731682,-79.583786
130,796354,1428,3568905,Entire home/apt,,Toronto,,South Parkdale (85),4,4.5,3,1.0,,31.0,,2017-07-10 12:54:14.646691,43.637493,-79.428012
131,14546659,1428,55768786,Entire home/apt,,Toronto,,North St.James Town (74),0,0.0,2,0.0,,39.0,,2017-07-10 12:54:13.569806,43.669446,-79.371412
132,14240068,1428,86624641,Entire home/apt,,Toronto,,Caledonia-Fairbank (109),3,4.5,4,1.0,,40.0,,2017-07-10 12:54:13.564474,43.689040999999996,-79.45466
133,9704770,1428,9228300,Entire home/apt,,Toronto,,Rosedale-Moore Park (98),0,0.0,2,0.0,,32.0,,2017-07-10 12:54:13.549483,43.685106,-79.392061
134,13094034,1428,72701285,Entire home/apt,,Toronto,,Humber Heights-Westmount (8),0,0.0,2,1.0,,40.0,,2017-07-10 12:54:13.545262,43.700924,-79.528322
135,14708773,1428,91500818,Entire home/apt,,Toronto,,Annex (95),3,5.0,2,1.0,,33.0,,2017-07-10 12:54:12.503155,43.669421,-79.41128
136,13376436,1428,74708664,Entire home/apt,,Toronto,,Long Branch (19),1,0.0,2,1.0,,32.0,,2017-07-10 12:54:10.403057,43.595113,-79.527129
137,6569743,1428,34362217,Entire home/apt,,Toronto,,Kensington-Chinatown (78),0,0.0,10,6.0,,552.0,,2017-07-10 12:53:56.234852,43.656141999999996,-79.395555
138,11177720,1428,26743967,Entire home/apt,,Toronto,,Annex (95),7,4.0,12,10.0,,560.0,,2017-07-10 12:53:56.229087,43.668994,-79.404836
139,1895914,1428,9700971,Entire home/apt,,Toronto,,Waterfront Communities-The Island (77),20,5.0,10,3.0,,659.0,,2017-07-10 12:53:56.225550,43.641321000000005,-79.396232
140,6626737,1428,34684908,Entire home/apt,,Toronto,,Lawrence Park South (103),0,0.0,7,4.0,,599.0,,2017-07-10 12:53:56.220585,43.725346,-79.39748399999999
141,6868764,1428,276090,Entire home/apt,,Toronto,,Leaside-Bennington (56),0,0.0,10,6.0,,599.0,,2017-07-10 12:53:56.217686,43.692446999999994,-79.36349399999999
142,14683006,1428,37821614,Entire home/apt,,Toronto,,Casa Loma (96),0,0.0,8,4.0,,691.0,,2017-07-10 12:53:56.213159,43.678765000000006,-79.400314
143,16913617,1428,7002804,Entire home/apt,,Toronto,,Dovercourt-Wallace Emerson-Junction (93),0,0.0,4,2.0,,559.0,,2017-07-10 12:53:56.209208,43.670235,-79.447787
144,16017846,1428,41495124,Entire home/apt,,Toronto,,Rockcliffe-Smythe (111),5,5.0,8,3.0,,719.0,,2017-07-10 12:53:56.206144,43.673493,-79.49598
145,6167923,1428,31532062,Entire home/apt,,Toronto,,Kingsway South (15),0,0.0,8,4.0,,599.0,,2017-07-10 12:53:56.203363,43.650677,-79.519155
146,10863521,1428,24648376,Entire home/apt,,Toronto,,Woodbine-Lumsden (60),0,0.0,6,2.0,,560.0,,2017-07-10 12:53:56.200777,43.687634,-79.310115
147,379133,1428,1903033,Entire home/apt,,Toronto,,Rosedale-Moore Park (98),1,0.0,8,3.0,,520.0,,2017-07-10 12:53:56.195563,43.67423,-79.370276
148,4694669,1428,24074825,Entire home/apt,,Toronto,,Leaside-Bennington (56),0,0.0,8,4.0,,679.0,,2017-07-10 12:53:56.190711,43.695069000000004,-79.376953
